Pair_UID,X_unitNum,Y_unitNum,X_area,Y_area,XY_Dist,condition,alignedName,rhoRaw_50ms,pvalRaw_50ms,rhoRaw_150ms,pvalRaw_150ms,rhoRaw_200ms,pvalRaw_200ms,X_Y_visGrade,X_Y_visType,X_Y_moveGrade,X_Y_errGrade,X_Y_rewGrade,X_Y_poorIso,Y_visGrade,Y_visType,Y_moveGrade,Y_errGrade,Y_rewGrade,Y_poorIso,monkey,sessNum,sess,outcome,satCondition,epoch,sameAreaPair,sameChannelPair,pairCount,signifPlusRho,signifMinusRho,nonSignifRho
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastErrorChoice,Visual,0.06352119,0.5197327,0.0475206,0.6302433,0.03965207,0.6879733,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Fast,Visual,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastErrorChoice,PostSaccade,-0.03012723,0.7603006,0.06737504,0.4946694,0.09579161,0.3310209,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Fast,PostSaccade,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastErrorChoice,PostReward,0.2185455,0.02510608,0.3420818,0.0003546416,0.4411034,2.480725e-06,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Fast,PostReward,1,0,1,1,0,0
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastErrorTiming,Baseline,0.06133344,0.6657869,0.2153912,0.1251493,0.3356553,0.0149892,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Fast,Baseline,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastErrorTiming,Visual,0.1512926,0.2843297,0.07392823,0.6024653,0.09854577,0.4870279,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Fast,Visual,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastErrorTiming,PostSaccade,0.1706101,0.2265594,-0.02855388,0.8407451,0.06195207,0.6626173,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Fast,PostSaccade,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastErrorTiming,PostReward,0.08741854,0.5377351,0.02749718,0.8465663,0.1195496,0.3985792,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Fast,PostReward,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,AccurateCorrect,Baseline,-0.1045677,0.05029386,-0.07909305,0.1391831,-0.08372596,0.1174048,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Accurate,Baseline,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,AccurateCorrect,Visual,-0.0286278,0.5929694,-0.1099171,0.03957183,-0.09270309,0.08285902,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Accurate,Visual,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,AccurateCorrect,PostSaccade,-0.05094796,0.3412375,-0.02520763,0.6378871,-0.05345982,0.3179347,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Accurate,PostSaccade,1,0,1,0,0,1
