X_unitNum,Y_unitNum,X_area,Y_area,X_visMovType,X_sortVisMov,X_errGrade,X_rewGrade,X_poorIso,Y_visMovType,Y_sortVisMov,Y_errGrade,Y_rewGrade,Y_poorIso,outcome,satCondition,epoch,rscSign,signifPlusRho,signifMinusRho,signifRsc
7,11,SEF,SC,Other,0,0,-3,0,Vis,1,0,0,0,ErrorTiming,Fast,PostSaccade,1,0,0,0
9,2,SEF,FEF,Vis,1,2,0,0,VisMov,2,0,0,0,Correct,Accurate,PostSaccade,1,0,0,0
9,2,SEF,FEF,Vis,1,2,0,0,VisMov,2,0,0,0,ErrorChoice,Accurate,PostSaccade,1,0,0,0
9,2,SEF,FEF,Vis,1,2,0,0,VisMov,2,0,0,0,ErrorTiming,Accurate,PostSaccade,1,0,0,0
9,2,SEF,FEF,Vis,1,2,0,0,VisMov,2,0,0,0,Correct,Fast,PostSaccade,1,1,0,1
9,2,SEF,FEF,Vis,1,2,0,0,VisMov,2,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,0,0
9,2,SEF,FEF,Vis,1,2,0,0,VisMov,2,0,0,0,ErrorTiming,Fast,PostSaccade,1,0,0,0
9,3,SEF,FEF,Vis,1,2,0,0,Vis,1,0,0,0,Correct,Accurate,PostSaccade,-1,0,0,0
9,3,SEF,FEF,Vis,1,2,0,0,Vis,1,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,0,0
9,3,SEF,FEF,Vis,1,2,0,0,Vis,1,0,0,0,ErrorTiming,Accurate,PostSaccade,1,0,0,0
9,3,SEF,FEF,Vis,1,2,0,0,Vis,1,0,0,0,Correct,Fast,PostSaccade,1,0,0,0
9,3,SEF,FEF,Vis,1,2,0,0,Vis,1,0,0,0,ErrorChoice,Fast,PostSaccade,1,0,0,0
9,3,SEF,FEF,Vis,1,2,0,0,Vis,1,0,0,0,ErrorTiming,Fast,PostSaccade,1,0,0,0
9,4,SEF,FEF,Vis,1,2,0,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,-1,0,0,0
9,4,SEF,FEF,Vis,1,2,0,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,0,0
9,4,SEF,FEF,Vis,1,2,0,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,-1,0,0,0
9,4,SEF,FEF,Vis,1,2,0,0,Other,4,0,0,0,Correct,Fast,PostSaccade,-1,0,0,0
9,4,SEF,FEF,Vis,1,2,0,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,1,0,0,0
9,4,SEF,FEF,Vis,1,2,0,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,-1,0,0,0
9,11,SEF,SC,Vis,1,2,0,0,Vis,1,0,0,0,Correct,Accurate,PostSaccade,1,0,0,0
9,11,SEF,SC,Vis,1,2,0,0,Vis,1,0,0,0,ErrorChoice,Accurate,PostSaccade,1,0,0,0
9,11,SEF,SC,Vis,1,2,0,0,Vis,1,0,0,0,ErrorTiming,Accurate,PostSaccade,1,0,0,0
9,11,SEF,SC,Vis,1,2,0,0,Vis,1,0,0,0,Correct,Fast,PostSaccade,1,0,0,0
9,11,SEF,SC,Vis,1,2,0,0,Vis,1,0,0,0,ErrorChoice,Fast,PostSaccade,1,0,0,0
9,11,SEF,SC,Vis,1,2,0,0,Vis,1,0,0,0,ErrorTiming,Fast,PostSaccade,-1,0,0,0
10,2,SEF,FEF,Vis,1,0,0,0,VisMov,2,0,0,0,Correct,Accurate,PostSaccade,1,0,0,0
10,2,SEF,FEF,Vis,1,0,0,0,VisMov,2,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,0,0
10,2,SEF,FEF,Vis,1,0,0,0,VisMov,2,0,0,0,ErrorTiming,Accurate,PostSaccade,-1,0,0,0
10,2,SEF,FEF,Vis,1,0,0,0,VisMov,2,0,0,0,Correct,Fast,PostSaccade,-1,0,0,0
10,2,SEF,FEF,Vis,1,0,0,0,VisMov,2,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,0,0
10,2,SEF,FEF,Vis,1,0,0,0,VisMov,2,0,0,0,ErrorTiming,Fast,PostSaccade,-1,0,0,0
10,3,SEF,FEF,Vis,1,0,0,0,Vis,1,0,0,0,Correct,Accurate,PostSaccade,-1,0,0,0
10,3,SEF,FEF,Vis,1,0,0,0,Vis,1,0,0,0,ErrorChoice,Accurate,PostSaccade,1,0,0,0
10,3,SEF,FEF,Vis,1,0,0,0,Vis,1,0,0,0,ErrorTiming,Accurate,PostSaccade,1,0,0,0
10,3,SEF,FEF,Vis,1,0,0,0,Vis,1,0,0,0,Correct,Fast,PostSaccade,1,0,0,0
10,3,SEF,FEF,Vis,1,0,0,0,Vis,1,0,0,0,ErrorChoice,Fast,PostSaccade,1,0,0,0
10,3,SEF,FEF,Vis,1,0,0,0,Vis,1,0,0,0,ErrorTiming,Fast,PostSaccade,1,0,0,0
10,4,SEF,FEF,Vis,1,0,0,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,1,0,0,0
